"Family","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"[Leptospirillaceae]",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OM60",0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0
"unclassified_family",8655,9491,478,6420,209,192,274,253,147,2245,178,1381,478,2824,96,759
"Gaiellaceae",1973,2084,66,299,0,0,0,0,0,274,0,29,45,448,0,12
"Acidobacteriaceae",662,575,6,215,5,0,10,0,0,126,0,139,271,508,59,43
"Hyphomicrobiaceae",1012,1184,41,574,18,14,0,0,14,206,13,161,311,530,20,47
"Bacillaceae",369,517,68,392,22,41,21,48,62,135,12,233,86,110,18,193
"Pirellulaceae",46,16,0,17,0,0,0,3,0,5,0,0,0,0,3,11
"Xanthomonadaceae",1336,1274,99,1427,70,80,45,60,112,579,72,302,78,514,0,203
"Chitinophagaceae",766,934,0,195,0,0,0,12,0,85,11,25,26,228,0,65
"mb2424",25,13,3,24,0,0,0,0,0,0,0,0,0,11,0,6
"Ruminococcaceae",208,76,22,369,38,8,10,49,10,34,17,690,76,63,36,94
"Rhodospirillaceae",524,621,27,574,16,30,0,10,13,203,17,99,67,239,0,13
"Oxalobacteraceae",578,704,46,485,34,40,0,44,43,258,31,219,17,224,93,519
"Burkholderiaceae",144,228,10,253,0,17,0,27,15,63,7,112,110,123,49,28
"PAUC26f",0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
"Mycoplasmataceae",0,0,3,3,0,0,3,0,0,0,9,0,3,0,0,0
"[Paraprevotellaceae]",0,2,0,35,3,0,0,0,0,0,0,28,0,0,4,4
"Peptococcaceae",0,0,0,24,0,0,0,5,5,0,0,16,0,0,0,0
"Rubrobacteraceae",777,922,49,230,19,34,15,26,33,170,8,170,14,208,8,11
"Ignavibacteriaceae",0,0,0,2,0,3,0,0,0,0,0,2,0,0,0,0
"Veillonellaceae",64,42,14,98,73,87,49,36,0,7,0,1945,26,51,4,6
"Nitrososphaeraceae",638,1303,0,39,3,0,0,0,0,2,0,4,0,0,0,6
"Sphingobacteriaceae",73,111,0,45,0,0,0,0,0,0,0,43,20,121,0,7
"Comamonadaceae",511,594,22,379,59,0,0,18,14,207,12,146,0,204,9,218
"Microbacteriaceae",154,240,0,145,0,0,0,0,0,50,0,40,43,65,0,24
"Moraxellaceae",384,404,100,587,715,209,74,126,57,186,20,387,27,171,17,393
"Haliangiaceae",218,177,10,112,0,0,9,0,8,72,0,0,0,54,0,9
"Ellin6075",26,25,0,26,0,0,0,0,0,0,0,5,0,0,0,22
"Sphingomonadaceae",1432,1883,86,1019,23,39,19,3,19,353,0,74,50,457,9,190
"Neisseriaceae",3686,14553,2175,2685,22903,2979,2057,2365,3949,28563,2366,1982,719,1455,704,29990
"0319-6A21",220,295,0,124,5,0,0,6,0,43,0,0,6,27,0,22
"Solibacteraceae",132,157,7,86,7,0,0,8,0,27,0,74,17,25,0,0
"EB1017",90,105,0,43,0,0,0,0,0,39,0,29,33,55,0,0
"[Chthoniobacteraceae]",5390,6250,46,480,0,0,0,0,12,220,0,32,53,622,16,65
"Deinococcaceae",27,17,0,9,0,0,0,0,0,6,2,0,0,6,0,0
"[Entotheonellaceae]",78,189,0,41,0,0,0,4,0,16,0,0,0,17,0,0
"A4b",14,9,0,88,0,3,0,3,4,13,0,17,2,10,0,6
"Clostridiaceae",145,88,29,541,253,159,215,139,422,758,325,6801,3371,2110,973,106
"Anaerolinaceae",3,0,4,18,0,0,0,2,0,0,0,0,0,0,0,0
"PRR-10",14,13,0,12,0,0,0,0,0,0,0,0,0,6,0,0
"Planococcaceae",167,198,0,229,24,21,0,5,0,31,0,32,0,77,0,22
"Aerococcaceae",21,0,0,10,17,6,9,6,0,5,0,8,20,0,0,45
"Piscirickettsiaceae",24,6,0,272,15,17,0,17,30,96,22,55,15,11,0,0
"Sinobacteraceae",184,189,41,1204,18,36,37,56,116,287,104,215,114,126,13,32
"Micromonosporaceae",561,666,4,312,13,0,0,4,0,93,23,42,0,99,0,0
"Isosphaeraceae",367,603,0,0,0,0,0,0,0,9,0,0,0,16,0,0
"Caulobacteraceae",319,384,0,157,0,0,0,0,0,69,0,45,41,154,8,9
"Lachnospiraceae",360,243,106,837,55,48,28,52,39,65,21,601,203,117,379,331
"Conexibacteraceae",145,88,0,40,0,0,0,0,0,12,0,64,119,120,63,0
"Syntrophobacteraceae",245,191,15,221,11,8,12,10,0,83,7,19,24,99,5,9
"[Mogibacteriaceae]",17,0,0,15,0,0,0,0,0,10,0,12,0,0,0,8
"Frankiaceae",60,87,0,0,0,0,0,0,0,0,0,38,18,58,0,0
"[Marinicellaceae]",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"OPB35",6,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0
"Erysipelotrichaceae",22,5,3,109,8,8,14,8,0,23,7,28,8,6,0,14
"Pseudonocardiaceae",209,308,0,89,0,0,0,7,0,27,0,17,0,38,0,31
"Pseudomonadaceae",2145,1960,1292,3047,1005,1894,872,6079,408,1328,1344,1544,335,540,932,4796
"Cytophagaceae",51,77,12,207,5,5,0,7,6,45,7,38,0,17,0,9
"Paenibacillaceae",88,78,0,181,8,0,0,0,0,22,2,13,13,42,0,17
"Acetobacteraceae",286,273,0,112,5,5,0,6,3,43,0,110,58,178,31,0
"Coxiellaceae",150,52,0,61,0,5,0,0,0,74,0,46,0,86,0,4
"SAGMA-X",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradyrhizobiaceae",594,611,0,241,0,9,16,21,22,138,0,115,219,341,39,37
"Gemmataceae",163,113,0,36,0,0,0,8,0,3,0,3,8,8,2,0
"Enterococcaceae",15,0,19,189,92,0,0,80,396,260,177,935,2225,933,703,0
"S24-7",36,18,16,684,3,2,0,12,8,11,0,18,0,0,0,519
"Ellin517",100,47,9,22,0,0,0,0,0,30,0,6,0,30,0,0
"Rhodobacteraceae",43,24,5,97,11,17,0,15,0,10,0,13,0,28,0,0
"Solirubrobacteraceae",418,338,23,106,4,0,0,23,0,89,0,18,0,100,0,0
"Leuconostocaceae",3221,7377,10510,3195,6479,2065,9890,2430,2122,551,2075,597,21501,1000,7621,209
"Streptomycetaceae",150,152,18,99,0,0,0,9,0,5,0,29,0,66,0,0
"5B-12",10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parachlamydiaceae",0,6,3,0,0,0,0,0,0,0,0,0,5,0,0,0
"Streptococcaceae",29015,57315,116288,25477,54251,12887,26987,22430,20387,46566,40858,8436,31304,13630,16111,90013
"Rikenellaceae",0,11,0,36,4,6,3,6,0,0,0,6,0,2,0,31
"Staphylococcaceae",120,29,11,84,88,93,76,77,12,89,0,62,27,71,26,115
"Gracilibacteraceae",0,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"Geodermatophilaceae",349,277,15,105,0,0,11,0,0,82,0,70,35,132,0,13
"Erythrobacteraceae",42,71,8,69,0,0,0,9,0,22,0,13,0,18,0,16
"Ellin5301",205,207,0,39,0,0,0,0,0,13,0,0,0,9,0,14
"Enterobacteriaceae",2469,1367,1800,3385,1559,1970,1054,2028,879,7756,1465,5886,1335,2723,5428,23114
"Alteromonadaceae",0,3,3,40,0,0,0,4,0,0,0,8,0,0,0,0
"Rhodocyclaceae",9,0,0,58,0,0,0,0,0,0,9,13,0,0,0,6
"RB40",0,0,0,24,0,0,0,0,0,0,0,0,0,13,0,0
"Aurantimonadaceae",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhizobiaceae",64,65,0,113,0,0,0,0,0,24,0,15,0,27,0,47
"Chthonomonadaceae",32,8,0,0,0,0,0,0,0,0,0,0,7,6,0,0
"Xanthobacteraceae",29,33,0,0,0,0,0,0,0,14,0,0,0,29,0,0
"Phyllobacteriaceae",156,117,36,332,63,0,27,30,55,65,28,17,0,52,0,30
"Verrucomicrobiaceae",25,16,5,267,0,6,0,16,3,0,0,19,0,4,0,4
"Christensenellaceae",19,4,0,8,0,0,0,20,0,4,0,5,0,6,0,6
"Micrococcaceae",584,635,30,252,44,39,19,34,19,182,25,83,0,167,9,70
"TSCOR003-O20",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Nannocystaceae",30,5,0,74,0,0,0,0,0,19,0,0,0,14,0,0
"[Chromatiaceae]",14,6,0,0,0,0,0,0,0,9,0,3,0,0,0,0
"Opitutaceae",17,0,3,22,0,0,0,0,0,0,0,10,0,0,0,8
"Rhodothermaceae",5,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0
"Peptostreptococcaceae",33,39,6,116,27,20,27,24,20,50,8,74,51,38,51,20
"Beijerinckiaceae",79,157,0,16,0,0,0,0,0,8,0,15,43,53,7,0
"Corynebacteriaceae",31,0,8,23,15,0,0,5,0,25,0,19,8,18,0,77
"C111",11,11,0,19,0,0,6,0,0,0,0,9,0,6,0,0
"Porphyromonadaceae",10,0,0,58,0,0,0,0,0,8,0,14,0,0,0,10
"Armatimonadaceae",17,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Bacteroidaceae",14,22,7,420,19,9,8,17,0,5,6,42,12,4,0,12
"JTB36",0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0
"Lactobacillaceae",55728,32181,20121,14700,64092,78282,73564,50788,33307,53778,18554,16542,76457,37113,14120,29723
"Pseudoalteromonadaceae",28,0,0,35,0,46,0,4,0,0,55,0,0,0,0,0
"Succinivibrionaceae",0,0,0,3,0,0,0,5,3,0,0,71,18,42,13,5
"Symbiobacteriaceae",10,5,0,41,3,0,0,0,0,9,0,0,4,3,0,0
"FFCH4570",113,127,0,19,0,0,0,0,0,21,0,16,24,52,0,0
"Dolo_23",42,28,0,30,0,0,0,0,2,0,4,0,0,0,0,0
"Koribacteraceae",347,192,20,222,0,10,9,8,0,50,10,122,93,204,10,22
"Dehalobacteriaceae",0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,19
"Nocardioidaceae",413,429,17,138,0,0,0,0,0,106,0,47,0,140,0,39
"oc28",0,12,0,0,0,0,0,6,0,3,0,0,0,2,0,3
"Intrasporangiaceae",204,263,11,73,0,0,0,0,0,52,0,6,0,56,0,36
"RF16",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Geobacteraceae",17,0,0,94,8,4,0,8,0,0,0,0,5,0,0,0
"Coriobacteriaceae",0,0,0,18,6,9,13,8,0,2,0,138,0,0,0,16
"[Methanomassiliicoccaceae]",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriaceae",0,0,0,12,0,0,0,19,0,0,0,2,0,0,0,0
"Chromatiaceae",0,0,0,91,0,0,0,0,14,26,15,17,0,0,0,0
"Holophagaceae",10,0,0,14,0,0,0,0,0,6,0,6,0,8,0,0
"Alcaligenaceae",77,36,15,356,6,6,0,14,0,30,0,41,4,13,0,58
"Prevotellaceae",5,0,8,102,24,0,4,30,0,0,0,214,0,6,10,8
"Aeromonadaceae",70,35,40,99,0,21,17,28,0,122,27,25,0,45,0,142
"HTCC2089",0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0
"Rickettsiaceae",0,5,0,5,0,0,0,0,0,0,0,3,2,0,0,5
"Vibrionaceae",1791,1079,302,544,1649,1741,4066,5755,77984,9960,7051,3770,3629,88975,127168,45
"Desulfovibrionaceae",14,15,6,171,0,0,0,5,5,7,2,12,6,3,0,43
"Iamiaceae",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
"Legionellaceae",18,10,0,7,0,0,0,0,0,0,0,0,0,8,0,0
"Aminiphilaceae",3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"D2",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"RFP12",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
"Kineosporiaceae",108,158,0,29,0,0,0,0,0,0,0,0,0,55,0,0
"Alicyclobacillaceae",118,91,5,32,0,0,0,0,0,44,0,8,3,45,0,0
"Thermomonosporaceae",49,33,0,38,0,0,0,0,0,12,0,20,24,45,0,0
"Hydrogenophilaceae",0,0,4,22,0,0,0,0,0,0,0,11,0,0,0,0
"Nitrosomonadaceae",393,332,31,465,11,0,0,0,49,251,44,29,0,159,0,0
"[Tissierellaceae]",34,3,3,76,5,0,0,5,0,6,0,8,0,7,0,26
"Caldicoprobacteraceae",0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,0
"EB1003",44,33,0,0,0,0,0,7,0,20,0,17,31,40,0,0
"Desulfobulbaceae",0,3,12,14,5,0,0,8,0,0,5,10,0,4,0,0
"Myxococcaceae",47,6,0,32,2,0,0,0,0,7,0,13,0,13,6,0
"Bdellovibrionaceae",8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,3
"[Fimbriimonadaceae]",16,38,0,27,0,0,0,4,0,10,0,0,0,6,0,0
"Methylocystaceae",0,10,11,12,0,0,0,6,0,0,0,24,93,63,6,0
"Crenotrichaceae",10,0,0,13,0,0,0,0,0,6,0,0,0,4,0,0
"Halomonadaceae",3,0,0,13,13,0,14,31,11,7,0,0,0,0,7,0
"Bifidobacteriaceae",35,12,9,34,0,8,8,40,6,0,0,9799,27,37,10,0
"Flavobacteriaceae",5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,27
"Polyangiaceae",64,19,0,25,0,0,0,0,0,28,0,15,0,9,0,0
"Deferribacteraceae",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
"BA008",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Pasteurellaceae",10,23,0,65,7,8,0,26,0,4,0,141,0,13,7,7
"Actinospicaceae",13,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0
"Streptosporangiaceae",44,37,0,99,0,0,0,0,0,17,0,0,0,10,0,0
"Cystobacterineae",14,0,0,36,0,0,0,0,0,13,0,0,0,0,0,0
"Ktedonobacteraceae",29,16,0,17,0,0,0,0,0,4,0,2,0,7,0,0
"Helicobacteraceae",8,0,0,40,0,0,0,0,0,0,0,0,0,2,0,3
"Phycisphaeraceae",0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0
"SB-1",0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
"[Kouleothrixaceae]",25,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Turicibacteraceae",37,0,15,174,21,28,12,22,29,59,27,20,8,15,8,0
"Brocadiaceae",0,2,0,6,0,0,4,7,0,0,0,0,0,0,0,0
"Endozoicimonaceae",0,0,0,0,0,10,0,0,0,0,28,0,0,0,0,0
"Nocardiaceae",1,0,0,47,0,8,0,0,0,0,0,0,0,0,0,0
"Cenarchaeaceae",0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0
"211ds20",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Desulfobacteraceae",0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0
"Patulibacteraceae",374,427,15,82,3,0,7,0,0,102,0,0,50,197,0,0
"koll13",0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0
"AK1AB1_02E",10,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0
"Saprospiraceae",9,5,0,0,2,0,0,0,0,0,0,13,0,0,0,0
"[Odoribacteraceae]",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6
"Hyphomonadaceae",6,0,10,141,0,6,0,4,0,35,8,24,0,0,0,3
"Cellulomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Actinomycetaceae",23,0,0,0,27,12,24,15,0,0,0,349,0,12,0,0
"Propionibacteriaceae",59,51,7,29,17,17,6,8,0,8,3,48,6,12,4,9
"Thermoactinomycetaceae",0,0,0,35,0,0,0,0,0,0,6,3,0,0,0,16
"Syntrophorhabdaceae",0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0
"Gemellaceae",0,0,4,55,10,8,0,0,0,0,0,14,6,0,0,0
"Pelobacteraceae",0,0,11,22,0,0,0,0,0,0,0,0,0,0,0,0
"OCS155",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrospiraceae",52,79,11,43,0,0,0,6,0,14,0,13,0,12,0,9
"Carnobacteriaceae",619,556,590,533,831,7428,1026,562,126,71,258,342,430,135,182,27
"Syntrophaceae",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Mycobacteriaceae",140,227,6,33,0,0,0,0,0,19,0,27,16,64,11,0
"AKIW659",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"[Weeksellaceae]",34,25,0,48,96,0,0,0,0,0,0,6,9,8,0,37
"Ellin515",0,15,0,23,0,0,0,0,0,0,0,11,0,0,0,0
"Thermogemmatisporaceae",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
"Sporichthyaceae",171,104,0,41,0,0,0,0,0,53,0,0,0,75,0,0
"FW",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Euzebyaceae",0,0,0,7,0,0,3,0,0,0,0,7,0,0,0,0
"[Thermicanaceae]",0,0,0,0,0,0,0,0,0,0,0,7,14,7,6,10
"Planctomycetaceae",4,3,0,6,0,0,0,0,0,0,0,5,0,0,0,0
"Spirochaetaceae",0,5,0,7,3,0,0,1,0,0,0,2,0,0,0,2
"125ds10",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"[Thermodesulfovibrionaceae]",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"auto67_4W",14,0,0,3,0,0,0,0,0,0,0,5,4,4,0,0
"S47",0,0,0,5,0,0,2,0,0,0,0,0,4,0,0,0
"Dermabacteraceae",9,0,0,4,0,0,0,5,0,0,0,0,0,5,0,0
"Flammeovirgaceae",0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0
"OM27",0,0,0,30,0,0,0,0,0,13,0,19,0,0,0,0
"HTCC2188",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Trueperaceae",0,0,0,23,0,0,0,0,0,4,0,0,0,0,0,0
"Rhodobiaceae",29,8,0,30,0,0,0,0,0,10,0,13,0,12,0,0
"Ectothiorhodospiraceae",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Listeriaceae",343,310,317,277,75,1454,49,196,17,47,163,30,74,45,18,22
"Methylobacteriaceae",104,92,0,188,0,0,0,6,0,12,0,0,7,26,0,0
"Thermaceae",18,0,0,3,0,0,0,0,0,5,0,10,0,5,0,0
"[Amoebophilaceae]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wb1_P06",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Methylococcaceae",0,0,0,29,0,0,0,4,0,7,0,11,0,0,0,25
"Pseudanabaenaceae",0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0
"Chloroflexaceae",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"SJA-101",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4
"Shewanellaceae",0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,30
"Cystobacteraceae",16,44,7,36,0,0,0,0,6,0,0,0,0,12,0,0
"UD5",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeroplasmataceae",3,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
"Cyclobacteriaceae",0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0
"Tsukamurellaceae",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[Exiguobacteraceae]",0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,102
"Actinopolysporaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Actinosynnemataceae",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haloplasmataceae",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"F16",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6
"Brucellaceae",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,18
"Leptotrichiaceae",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Dermacoccaceae",130,90,0,6,0,0,0,0,0,44,0,0,0,50,0,0
"Sporolactobacillaceae",16,10,0,0,0,0,0,0,0,10,0,0,0,16,0,67
"Dietziaceae",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmatimonadaceae",0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0
"At425_EubF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Salinisphaeraceae",0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"Methylomirabiliaceae",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Nitriliruptoraceae",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BS11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Methylophilaceae",0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0
"Thiobacteraceae",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Cryomorphaceae",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Desulfarculaceae",0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
"Synechococcaceae",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Methanobacteriaceae",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Nakamurellaceae",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"MND4",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Leptospiraceae",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Dethiosulfovibrionaceae",0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0
"Microthrixaceae",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
